finding_id,rule_id,rule_name,standard,risk_score,risk_priority,irap_stars,irap_label,gap_start_sec,gap_end_sec,gap_duration_sec,estimated_gap_meters,position_start_meters,position_end_meters,trigger_class,trigger_confidence,recommended_action,track_id,status,score_breakdown,ai_recommendation,snapshot_path,hospital_zone
F-7FC1CF25,R-02,Missing Road Marking — Visibility Compliance Failure,Saudi Highway Code SHC 602 (Saudi MUTCD) | MOMAH Urban Roads Maintenance Obligations,50,HIGH,2,High risk road,1.13,1.13,0.0,0.0,12.56,12.56,missing_road_marking,0.5638,Inspect per Saudi Highway Code SHC 602 (Saudi Manual on Uniform Traffic Control Devices). Road markings must be visible day and night and incorporate retroreflective properties using glass beads in thermoplastic or approved materials. MOMAH municipalities are responsible for rehabilitating faded or missing ground markings on urban roads. Schedule immediate repainting using compliant thermoplastic retroreflective material. Report via the Balady platform if within municipal jurisdiction.,2.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified a high-severity safety issue due to missing road markings, which poses a significant visibility compliance failure. This issue increases the risk of accidents as road users may struggle to navigate lanes or intersections properly, especially under low-light conditions or adverse weather. Immediate corrective action is required to repaint the missing road markings to ensure clear guidance for drivers and enhance overall road safety. Prompt attention to this matter is crucial to mitigate potential hazards and align with Saudi MOMAH and KSARAP safety standards.",snapshots/F-7FC1CF25.jpg,St. Jude Trauma Center
F-2B40387D,R-07,Street Light Spacing Violation,SASO 2927:2019 (mandatory since September 2020),49,MEDIUM,3,Medium risk road,1.68,5.6,3.92,43.6,18.67,62.22,street_light,0.5704,Install additional street light. Gap exceeds SASO 2927:2019 maximum 40m spacing for collector/arterial roads. Verify pole height and lux output meet ME-class illuminance requirements.,,CONFIRMED,"{'raw_score': 49.0, 'final_score': 49, 'risk_priority': 'MEDIUM', 'irap_stars': 3, 'irap_label': 'Medium risk road', 'base_score': 35, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.4, 'trigger_confidence': 1.0, 'violation_count_in_zone': 3, 'zone_context': 'general_road'}","The road inspection AI has identified a street light spacing violation, which poses a medium-level safety risk with a risk score of 49 out of 100. Inadequate lighting can compromise visibility for drivers and pedestrians, increasing the likelihood of accidents, particularly during nighttime or adverse weather conditions. It is recommended to reassess the current spacing of street lights in the affected area and adjust them according to Saudi MOMAH and KSARAP standards to ensure optimal illumination. This corrective action should be prioritized to enhance road safety and prevent potential incidents.",snapshots/F-2B40387D.jpg,St. Jude Trauma Center
F-D6474249,R-01,Road Surface Defect — Pothole Detected,MOMAH General Specifications for Urban Roads Construction | Saudi Highway Code SHC | Roads General Authority (RGA) Maintenance Obligations,50,HIGH,2,High risk road,1.77,1.77,0.0,0.0,19.67,19.67,potholes,0.0,Report via the Balady platform (balady.gov.sa) under MOMAH General Specifications for Urban Roads Construction. The responsible municipality or contracted maintenance entity is legally obligated to inspect and repair the road surface defect. Unaddressed potholes causing vehicle damage or accidents may result in legal liability for the contractor or municipal authority under Saudi law. Commission immediate pavement assessment and schedule urgent repair works.,5.0,CONFIRMED,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The AI inspection has identified a high-severity pothole on the road surface, posing a significant safety risk to motorists. Potholes can lead to vehicle damage, loss of control, and accidents, especially at high speeds or in low visibility conditions. It is imperative to address this issue promptly by scheduling immediate repair to ensure the road remains safe and to prevent further deterioration. Given the risk score of 50 out of 100, this corrective action should be prioritized to maintain road safety standards in compliance with Saudi MOMAH and KSARAP guidelines.",snapshots/F-D6474249.jpg,St. Jude Trauma Center
F-D2398224,R-04,Construction Waste Obstruction on Public Road,"MOMAH Requirements for Disposal of Construction, Demolition & Renovation Waste | MWAN (National Center for Waste Management) Regulations | Municipal Violations Penalty Regulations",50,HIGH,2,High risk road,3.635,3.635,0.0,0.0,40.39,40.39,construction_waste,0.3981,"Report under MOMAH Requirements for the Disposal of Construction, Demolition, and Renovation Waste. Dumping construction waste on public roads is a municipal violation carrying fines of up to SAR 50,000. Contractors are legally obligated to transport all waste to designated disposal sites using licensed vehicles. Non-removal of debris after completing works attracts additional fines of SAR 3,000–10,000. Coordinate with the municipality to issue a compliance notice to the responsible contractor and enforce immediate site clearance.",8.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The AI inspection has identified a high-severity safety issue involving construction waste obstructing a public road, with a risk score of 50 out of 100. This obstruction poses a significant safety risk as it can lead to accidents by impeding the normal flow of traffic and reducing visibility for drivers. Immediate corrective action is required to remove the construction waste and ensure the road is clear and safe for public use. Prompt attention to this matter is crucial to prevent potential accidents and maintain road safety standards in compliance with Saudi MOMAH and KSARAP guidelines.",snapshots/F-D2398224.jpg,St. Jude Trauma Center
F-92BFD93B,R-09,Manhole Cover Infrastructure Issue,MOMAH General Specifications for Urban Roads Construction | Saudi Highway Code SHC,50,HIGH,2,High risk road,5.75,5.75,0.0,0.0,63.89,63.89,manholes,0.4229,Inspect per MOMAH General Specifications for Urban Roads Construction. Manhole covers must be flush with the pavement surface — protruding or sunken covers are classified as significant road hazards. Covers must have anti-slip properties and withstand applicable traffic load categories. Report to the relevant utility authority for immediate inspection and rectification.,40.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The AI inspection has identified a high-severity safety issue with a manhole cover, which poses a significant risk to road users. Manhole covers that are damaged, misaligned, or missing can lead to accidents, particularly for vehicles and pedestrians, by causing sudden obstructions or hazards on the road surface. It is imperative to conduct an immediate on-site inspection to assess the condition of the manhole and implement corrective actions, such as repair or replacement, to mitigate the risk of accidents. Given the high-risk score and the potential for severe consequences, this issue requires urgent attention to ensure road safety compliance with Saudi MOMAH and KSARAP standards.",snapshots/F-92BFD93B.jpg,St. Jude Trauma Center
F-75A354AD,R-07,Excavation Work Zone — Safety Non-Compliance,MOMAH Traffic Control at Work Sites Guide | MOMAH Comprehensive Regulatory Guide for Civil Infrastructure Works | Balady Platform Excavation Permit Requirements,50,HIGH,2,High risk road,6.335,6.335,0.0,0.0,70.39,70.39,safety_and_excavation_works,0.8114,"Inspect per the MOMAH Traffic Control at Work Sites Guide and Comprehensive Regulatory Guide for Civil Infrastructure Works. All excavation works on public roads require a permit issued via the Balady platform, including a site safety plan and traffic management plan. Mandatory safety requirements: barricades with reflective strips and warning lights around the full work zone, adequate pedestrian detour if sidewalk is blocked, and shoring for excavations deeper than 1.5 metres. Materials must be kept at least 1 metre from the excavation edge. Non-compliant sites must be reported to the local municipality (Amanah) infrastructure coordination office for immediate enforcement action.",44.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The AI inspection has identified a high-severity safety non-compliance issue related to an excavation work zone, which poses a significant risk to road users. This non-compliance can lead to accidents, injuries, or fatalities due to inadequate signage, barriers, or protective measures around the excavation site. Immediate corrective action is required to ensure compliance with Saudi MOMAH and KSARAP standards by implementing proper safety barriers, clear signage, and adequate lighting to alert and guide road users safely. Addressing this issue with urgency will mitigate potential hazards and enhance overall road safety.",snapshots/F-75A354AD.jpg,St. Jude Trauma Center
F-82A15675,R-07,Street Light Spacing Violation,SASO 2927:2019 (mandatory since September 2020),49,MEDIUM,3,Medium risk road,8.285,12.25,3.965,44.1,92.06,136.11,street_light,0.6258,Install additional street light. Gap exceeds SASO 2927:2019 maximum 40m spacing for collector/arterial roads. Verify pole height and lux output meet ME-class illuminance requirements.,,PENDING_REVIEW,"{'raw_score': 49.0, 'final_score': 49, 'risk_priority': 'MEDIUM', 'irap_stars': 3, 'irap_label': 'Medium risk road', 'base_score': 35, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.4, 'trigger_confidence': 1.0, 'violation_count_in_zone': 3, 'zone_context': 'general_road'}","The AI inspection has identified a street light spacing violation, which poses a medium-level safety risk with a risk score of 49 out of 100. Inadequate street lighting can lead to reduced visibility for drivers and pedestrians, increasing the likelihood of accidents, particularly during nighttime or adverse weather conditions. To mitigate this risk, it is recommended to review and adjust the spacing of street lights to comply with Saudi MOMAH and KSARAP standards, ensuring consistent and adequate illumination across the affected area. This corrective action should be prioritized to enhance road safety and prevent potential incidents.",snapshots/F-82A15675.jpg,St. Jude Trauma Center
F-F60A13C7,R-07,Excavation Work Zone — Safety Non-Compliance,MOMAH Traffic Control at Work Sites Guide | MOMAH Comprehensive Regulatory Guide for Civil Infrastructure Works | Balady Platform Excavation Permit Requirements,50,HIGH,2,High risk road,8.78,8.78,0.0,0.0,97.56,97.56,safety_and_excavation_works,0.8177,"Inspect per the MOMAH Traffic Control at Work Sites Guide and Comprehensive Regulatory Guide for Civil Infrastructure Works. All excavation works on public roads require a permit issued via the Balady platform, including a site safety plan and traffic management plan. Mandatory safety requirements: barricades with reflective strips and warning lights around the full work zone, adequate pedestrian detour if sidewalk is blocked, and shoring for excavations deeper than 1.5 metres. Materials must be kept at least 1 metre from the excavation edge. Non-compliant sites must be reported to the local municipality (Amanah) infrastructure coordination office for immediate enforcement action.",68.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The AI inspection has identified a high-severity safety non-compliance issue related to excavation work zones, with a risk score of 50 out of 100. This issue poses a significant safety risk as it may lead to accidents or injuries due to inadequate protective measures around the excavation site. It is imperative to immediately implement corrective actions, such as installing appropriate barriers, signage, and lighting to ensure the safety of both workers and road users. Prompt attention to this matter is crucial to mitigate potential hazards and align with Saudi MOMAH and KSARAP standards.",snapshots/F-F60A13C7.jpg,St. Jude Trauma Center
F-B9876601,R-07,Street Light Spacing Violation,SASO 2927:2019 (mandatory since September 2020),56,HIGH,2,High risk road,13.565,18.17,4.605,51.2,150.72,201.89,street_light,0.6445,Install additional street light. Gap exceeds SASO 2927:2019 maximum 40m spacing for collector/arterial roads. Verify pole height and lux output meet ME-class illuminance requirements.,,CONFIRMED,"{'raw_score': 56.0, 'final_score': 56, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 35, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.6, 'trigger_confidence': 1.0, 'violation_count_in_zone': 4, 'zone_context': 'general_road'}","The street light spacing violation identified by the road inspection AI presents a significant safety risk due to inadequate illumination, which can lead to reduced visibility for drivers and pedestrians, increasing the likelihood of accidents. The high severity and risk score of 56 out of 100 indicate an urgent need for corrective action. It is recommended to assess and adjust the spacing of street lights in the affected area to ensure compliance with Saudi MOMAH and KSARAP standards, thereby enhancing visibility and safety. Prompt attention to this issue is crucial to mitigate potential hazards and improve road safety.",snapshots/F-B9876601.jpg,St. Jude Trauma Center
F-FBA0128C,R-09,Manhole Cover Infrastructure Issue,MOMAH General Specifications for Urban Roads Construction | Saudi Highway Code SHC,50,HIGH,2,High risk road,16.085,16.085,0.0,0.0,178.72,178.72,manholes,0.6905,Inspect per MOMAH General Specifications for Urban Roads Construction. Manhole covers must be flush with the pavement surface — protruding or sunken covers are classified as significant road hazards. Covers must have anti-slip properties and withstand applicable traffic load categories. Report to the relevant utility authority for immediate inspection and rectification.,152.0,PENDING_REVIEW,"{'raw_score': 50.0, 'final_score': 50, 'risk_priority': 'HIGH', 'irap_stars': 2, 'irap_label': 'High risk road', 'base_score': 50, 'confidence_factor': 1.0, 'zone_multiplier': 1.0, 'compound_factor': 1.0, 'trigger_confidence': 1.0, 'violation_count_in_zone': 1, 'zone_context': 'general_road'}","The road inspection AI has identified a high-severity safety issue concerning a manhole cover, which poses a significant risk to road users. This issue can lead to accidents, particularly for vehicles and cyclists, due to the potential for sudden impact or loss of control. Immediate corrective action is required to secure or replace the manhole cover to prevent accidents and ensure compliance with Saudi MOMAH and KSARAP safety standards. It is urgent to address this issue promptly to maintain road safety and protect all users.",snapshots/F-FBA0128C.jpg,St. Jude Trauma Center
